#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 01  5.1  0.37 14.9  12.9
2020 06 01  4.0  0.39 14.8  12.9
2020 06 01  4.6  0.37 14.9  12.8
2020 06 01  5.4  0.38 15.1  12.8
2020 06 01  5.4  0.37 14.8  12.7
2020 06 02  6.1  0.38 15.0  12.6
2020 06 02  5.6  0.42 15.3  12.5
2020 06 02  5.1  0.45 15.5  12.4
2020 06 02  3.9  0.44 15.3  12.4
2020 06 02  4.3  0.43 14.8  12.4
2020 06 02  4.5  0.43 14.4  12.4
2020 06 02  5.0  0.44 14.6  12.3
2020 06 02  5.0  0.43 14.8  12.3
2020 06 02  4.8  0.46 15.1  12.1
2020 06 02  5.1  0.44 15.0  12.1
2020 06 02  4.6  0.40 14.8  12.0
2020 06 02  3.9  0.48 14.6  12.0
2020 06 02  3.2  0.46 14.3  12.0
2020 06 02  3.4  0.46 14.5  12.0
2020 06 02  4.3  0.47 15.7  12.0
2020 06 02  4.1  0.50 15.4  12.0
2020 06 02  4.4  0.50 15.3  12.0
2020 06 02  4.2  0.48 15.0  12.0
2020 06 02  3.8  0.55 14.5  12.0
2020 06 02  3.9  0.55 14.4  12.0
2020 06 02  4.3  0.58 14.5  12.0
2020 06 02  4.7  0.63 15.0  12.0
2020 06 02  4.2  0.70 14.9  12.1
2020 06 02  4.1  0.77 14.0  12.4
2020 06 02  5.2  0.71 15.0  12.4
2020 06 02  5.0  0.75 14.7  12.5
2020 06 02  5.2  0.73 14.5  12.6
2020 06 02  5.3  0.76 15.0  12.7
2020 06 02  5.8  0.85 15.0  12.7
2020 06 02  6.2  0.92 15.1  12.8
2020 06 02  6.3  0.93 15.1  12.8
2020 06 02  6.8  0.95 15.1  12.9
2020 06 02  6.8  0.94 15.1  13.0
2020 06 02  6.8  1.00 15.1  13.1
2020 06 02  6.6  1.11 15.2  13.2
2020 06 02  6.9  1.02 15.3  13.3
2020 06 02  6.8  0.96 15.4  13.4
2020 06 02  7.1  1.08 15.5  13.4
2020 06 02  6.7  1.02 15.3  13.5
2020 06 02  6.3  1.03 15.1  13.5
2020 06 02  6.1  0.85 15.0  13.5
2020 06 02  6.2  0.94 14.8  13.6
2020 06 02  6.3  0.92 14.7  13.6
2020 06 02  6.2  0.89 14.8  13.6
