#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 14  6.3  0.39 13.7  14.6
2020 06 14  5.9  0.40 13.6  14.6
2020 06 14  5.6  0.38 13.3  14.6
2020 06 14  4.9  0.37 13.0  14.6
2020 06 14  4.2  0.36 12.9  14.6
2020 06 14  3.8  0.35 12.7  14.6
2020 06 14  3.8  0.31 12.6  14.6
2020 06 14  4.1  0.30 12.6  14.6
2020 06 14  4.3  0.31 12.7  14.6
2020 06 14  4.6  0.30 12.3  14.6
2020 06 14  4.7  0.28 11.8  14.6
2020 06 14  4.4  0.29 11.5  14.6
2020 06 14  4.2  0.29 11.5  14.6
2020 06 14  4.5  0.29 11.4  14.6
2020 06 14  5.0  0.30 11.2  14.6
2020 06 14  5.2  0.29 11.0  14.6
2020 06 14  5.3  0.30 10.8  14.6
2020 06 14  5.2  0.34 10.8  14.5
2020 06 14  5.5  0.35 10.9  14.5
2020 06 14  5.3  0.33 10.6  14.5
2020 06 14  5.3  0.31 10.6  14.5
2020 06 14  5.3  0.32 10.6  14.5
2020 06 14  5.2  0.32 10.4  14.5
2020 06 14  5.2  0.30 10.1  14.5
2020 06 14  4.6  0.30 10.1  14.5
2020 06 14  4.1  0.29 10.1  14.4
2020 06 14  3.6  0.28  9.8  14.4
2020 06 14  3.6  0.26  9.6  14.4
2020 06 14  4.3  0.24  9.7  14.4
2020 06 14  5.0  0.23  9.0  14.4
2020 06 14  5.1  0.23  9.7  14.4
2020 06 14  5.0  0.26  9.5  14.4
2020 06 14  4.2  0.28  9.3  14.4
2020 06 14  3.5  0.28  9.7  14.4
2020 06 14  3.5  0.28  9.6  14.4
2020 06 14  3.6  0.29  9.7  14.4
2020 06 14  4.0  0.29 10.0  14.4
2020 06 14  3.6  0.28 10.0  14.4
2020 06 14  3.9  0.27  9.9  14.4
2020 06 14  3.8  0.27 10.1  14.4
2020 06 14  4.1  0.26 10.4  14.4
2020 06 14  4.7  0.29 10.7  14.4
2020 06 14  4.4  0.27 11.0  14.4
2020 06 14  4.2  0.27 11.2  14.4
2020 06 14  4.5  0.28 11.4  14.4
2020 06 14  5.5  0.32 11.7  14.4
2020 06 14  5.4  0.29 11.9  14.4
2020 06 14  4.6  0.32 12.1  14.4
2020 06 14  4.4  0.31 12.4  14.4
2020 06 14  3.7  0.31 12.5  14.4
2020 06 14  2.4  0.29 12.7  14.4
2020 06 14  2.3  0.26 12.9  14.4
2020 06 14  2.7  0.24 13.1  14.4
2020 06 14  2.9  0.23 13.4  14.4
2020 06 14  2.5  0.21 13.7  14.5
2020 06 14  2.6  0.18 13.9  14.5
2020 06 14  2.9  0.19 14.1  14.5
2020 06 14  2.7  0.18 14.2  14.5
2020 06 14  3.4  0.18 14.6  14.5
2020 06 14  3.2  0.18 14.8  14.5
2020 06 14  3.5  0.19 15.0  14.6
2020 06 14  4.4  0.19 15.4  14.6
2020 06 14  2.8  0.23 15.6  14.6
2020 06 14  3.7  0.23 15.8  14.7
2020 06 14  4.5  0.22 16.1  14.7
2020 06 14  3.9  0.28 16.1  14.7
2020 06 14  4.7  0.27 16.3  14.8
2020 06 14  4.3  0.29 16.6  14.7
2020 06 14  5.6  0.25 16.7  14.8
2020 06 14  6.3  0.28 16.9  14.8
2020 06 14  5.1  0.32 17.0  14.8
2020 06 14  5.6  0.30 17.0  14.7
2020 06 14  4.9  0.32 17.2  14.7
2020 06 14  5.7  0.35 17.3  14.7
2020 06 14  5.0  0.35 17.4  14.8
2020 06 14  5.0  0.34 17.5  14.8
2020 06 14  5.9  0.38 17.5  14.8
2020 06 14  4.5  0.35 17.6  14.9
2020 06 14  5.6  0.35 17.7  14.9
2020 06 14  5.7  0.34 17.8  14.9
2020 06 14  4.8  0.32 17.7  14.9
2020 06 14  5.3  0.32 18.0  14.9
2020 06 14  5.9  0.32 18.0  15.0
2020 06 14  5.5  0.32 18.2  15.0
2020 06 14  5.3  0.32 18.1  15.0
2020 06 14  5.3  0.31 18.2  15.0
2020 06 14  5.4  0.29 18.6  15.0
2020 06 14  5.5  0.31 18.4  15.0
2020 06 14  3.4  0.29 18.5  15.0
2020 06 14  4.6  0.24 18.4  15.0
2020 06 14  4.9  0.26 18.7  15.1
2020 06 14  4.1  0.28 18.6  15.1
2020 06 14  5.4  0.30 18.8  15.1
2020 06 14  3.9  0.25 18.9  15.1
2020 06 14  4.1  0.25 19.0  15.2
2020 06 14  4.1  0.23 19.2  15.2
2020 06 14  4.7  0.22 19.2  15.2
2020 06 14  2.6  0.24 17.9  15.2
2020 06 14  6.8  0.27 15.0  15.2
2020 06 14  5.9  0.39 15.3  15.3
2020 06 14  7.1  0.42 15.1  15.3
2020 06 14  6.9  0.43 15.3  15.3
2020 06 14  6.5  0.43 15.4  15.3
2020 06 14  6.6  0.43 15.5  15.3
2020 06 14  6.3  0.45 15.5  15.3
2020 06 14  5.6  0.45 15.6  15.3
2020 06 14  5.5  0.47 15.6  15.3
2020 06 14  5.9  0.45 15.6  15.3
2020 06 14  6.0  0.50 15.7  15.3
2020 06 14  6.5  0.50 15.6  15.3
2020 06 14  6.4  0.52 15.6  15.3
2020 06 15  5.6  0.52 15.7  15.2
2020 06 15  5.5  0.53 15.8  15.2
2020 06 15  4.9  0.48 15.9  15.2
2020 06 15  5.0  0.48 16.0  15.2
2020 06 15  5.0  0.50 15.9  15.2
2020 06 15  5.0  0.47 15.9  15.2
2020 06 15  4.7  0.50 15.9  15.2
2020 06 15  4.7  0.44 15.9  15.2
2020 06 15  4.5  0.43 15.9  15.2
2020 06 15  3.9  0.45 15.9  15.2
2020 06 15  3.5  0.41 15.9  15.2
2020 06 15  3.1  0.39 15.8  15.2
2020 06 15  3.1  0.39 15.8  15.2
2020 06 15  2.5  0.39 15.9  15.2
2020 06 15  2.0  0.35 15.9  15.1
2020 06 15  2.5  0.35 15.9  15.1
2020 06 15  4.3  0.46 16.2  15.1
2020 06 15  4.9  0.43 16.3  15.1
2020 06 15  5.2  0.41 16.2  15.1
2020 06 15  5.1  0.43 16.2  15.1
2020 06 15  4.8  0.41 16.1  15.1
2020 06 15  4.8  0.39 16.0  15.1
2020 06 15  4.9  0.38 15.8  15.1
2020 06 15  5.7  0.36 15.8  15.1
2020 06 15  6.1  0.38 15.8  15.0
2020 06 15  5.7  0.36 15.6  15.0
2020 06 15  5.2  0.35 15.4  15.0
2020 06 15  5.1  0.33 15.3  15.0
2020 06 15  5.2  0.33 15.2  15.0
2020 06 15  4.9  0.33 15.0  14.9
2020 06 15  4.8  0.33 14.8  14.9
2020 06 15  4.6  0.32 14.6  14.9
2020 06 15  4.5  0.30 14.7  14.9
2020 06 15  4.6  0.28 14.5  14.9
2020 06 15  5.0  0.28 14.4  14.9
2020 06 15  5.5  0.29 14.4  14.9
2020 06 15  5.8  0.31 14.3  14.9
2020 06 15  5.7  0.31 14.2  14.9
2020 06 15  5.3  0.30 14.0  14.9
2020 06 15  5.6  0.29 13.9  14.9
2020 06 15  5.4  0.32 13.7  14.9
2020 06 15  5.3  0.30 13.4  14.8
2020 06 15  5.3  0.29 13.3  14.8
2020 06 15  5.5  0.30 13.1  14.8
2020 06 15  5.8  0.32 13.0  14.7
2020 06 15  5.9  0.33 12.9  14.7
2020 06 15  6.0  0.33 12.8  14.6
2020 06 15  6.1  0.33 12.8  14.6
2020 06 15  6.1  0.34 12.7  14.6
2020 06 15  5.8  0.33 12.6  14.6
2020 06 15  5.6  0.32 12.6  14.6
2020 06 15  6.0  0.34 12.6  14.6
2020 06 15  5.9  0.31 12.5  14.6
2020 06 15  6.1  0.34 12.5  14.6
2020 06 15  6.3  0.34 12.5  14.5
2020 06 15  6.3  0.34 12.5  14.5
2020 06 15  6.1  0.34 12.5  14.5
2020 06 15  6.0  0.36 12.5  14.5
2020 06 15  6.1  0.34 12.5  14.5
2020 06 15  5.9  0.35 12.5  14.5
2020 06 15  5.8  0.33 12.4  14.5
2020 06 15  6.0  0.34 11.5  14.5
2020 06 15  6.2  0.33 12.3  14.5
2020 06 15  6.2  0.32 12.3  14.5
2020 06 15  6.1  0.35 12.3  14.4
2020 06 15  6.1  0.36 12.2  14.4
2020 06 15  6.1  0.34 12.2  14.4
2020 06 15  6.0  0.33 12.2  14.4
2020 06 15  5.9  0.34 12.2  14.4
2020 06 15  5.7  0.34 12.3  14.4
2020 06 15  5.8  0.35 12.3  14.4
2020 06 15  5.9  0.34 12.5  14.4
2020 06 15  5.7  0.33 12.7  14.4
2020 06 15  5.5  0.34 12.8  14.4
2020 06 15  5.1  0.35 13.0  14.4
2020 06 15  4.9  0.35 13.4  14.4
2020 06 15  4.6  0.30 13.7  14.4
2020 06 15  4.0  0.32 13.9  14.4
2020 06 15  3.8  0.28 14.2  14.4
2020 06 15  3.5  0.27 14.5  14.4
2020 06 15  3.5  0.26 14.9  14.5
2020 06 15  3.5  0.29 15.2  14.5
2020 06 15  3.6  0.29 15.6  14.5
2020 06 15  3.0  0.28 15.7  14.5
2020 06 15  3.4  0.26 15.9  14.5
2020 06 15  3.5  0.28 16.0  14.6
2020 06 15  1.9  0.24 16.2  14.6
2020 06 15  2.6  0.21 16.5  14.6
2020 06 15  2.7  0.22 16.7  14.6
2020 06 15  1.4  0.21 16.6  14.7
2020 06 15  2.0  0.20 15.7  14.7
2020 06 15  3.3  0.19 14.7  14.8
2020 06 15  2.7  0.17 14.7  14.9
2020 06 15  3.1  0.14 15.0  14.9
2020 06 15  3.3  0.14 14.7  14.9
2020 06 15  4.0  0.13 14.7  14.9
2020 06 15  4.0  0.14 14.5  15.0
2020 06 15  3.9  0.17 14.7  15.1
2020 06 15  3.6  0.19 14.7  15.1
2020 06 15  4.1  0.21 14.8  15.1
2020 06 15  4.1  0.24 14.8  15.2
2020 06 15  3.6  0.25 14.9  15.3
2020 06 15  3.5  0.23 14.9  15.3
2020 06 15  3.3  0.25 14.9  15.3
2020 06 15  3.2  0.27 15.1  15.3
2020 06 15  3.7  0.28 15.2  15.4
2020 06 15  3.2  0.23 15.0  15.4
2020 06 15  3.5  0.24 15.1  15.4
2020 06 15  3.5  0.24 15.1  15.3
2020 06 15  3.7  0.25 15.2  15.3
2020 06 15  4.2  0.25 15.4  15.4
2020 06 15  4.3  0.26 15.2  15.4
2020 06 15  4.3  0.22 15.3  15.3
2020 06 15  4.2  0.23 15.6  15.3
2020 06 15  4.9  0.24 15.4  15.4
2020 06 15  4.7  0.27 15.2  15.4
2020 06 15  4.4  0.25 15.3  15.5
2020 06 15  4.2  0.27 15.5  15.5
2020 06 15  4.4  0.30 15.7  15.5
2020 06 15  5.3  0.31 15.5  15.6
2020 06 15  5.2  0.32 15.4  15.6
2020 06 15  4.6  0.34 15.5  15.7
2020 06 15  4.7  0.32 15.6  15.7
2020 06 15  4.3  0.32 15.6  15.7
2020 06 15  4.9  0.34 15.6  15.8
2020 06 15  4.8  0.31 15.6  15.8
2020 06 15  4.9  0.32 15.6  15.8
2020 06 15  4.8  0.32 15.6  15.8
2020 06 15  4.3  0.34 15.7  15.8
2020 06 15  3.4  0.32 15.8  15.8
2020 06 15  3.2  0.31 15.8  15.7
2020 06 15  2.7  0.28 15.9  15.8
2020 06 15  2.7  0.28 16.0  15.8
2020 06 15  3.8  0.26 16.2  15.8
2020 06 15  4.4  0.27 16.1  15.8
2020 06 15  4.5  0.28 15.9  15.8
2020 06 15  5.3  0.31 15.9  15.8
2020 06 15  4.9  0.32 15.9  15.8
2020 06 15  4.8  0.32 15.9  15.7
2020 06 15  5.2  0.33 15.9  15.7
2020 06 15  5.6  0.39 15.8  15.7
2020 06 15  5.9  0.36 15.8  15.7
2020 06 16  5.4  0.38 15.9  15.7
2020 06 16  5.6  0.38 16.0  15.7
2020 06 16  5.5  0.41 16.0  15.6
2020 06 16  5.3  0.41 15.9  15.6
2020 06 16  4.7  0.42 15.9  15.5
2020 06 16  4.5  0.41 15.9  15.5
2020 06 16  4.5  0.40 16.0  15.5
2020 06 16  4.5  0.35 15.9  15.5
2020 06 16  4.1  0.36 15.9  15.4
2020 06 16  4.1  0.35 15.9  15.4
2020 06 16  4.1  0.35 15.9  15.4
2020 06 16  5.0  0.34 15.8  15.3
2020 06 16  5.3  0.32 15.7  15.3
2020 06 16  5.2  0.35 15.7  15.3
2020 06 16  4.8  0.36 15.7  15.3
2020 06 16  4.1  0.37 15.8  15.4
2020 06 16  3.8  0.36 15.9  15.5
2020 06 16  3.5  0.33 15.9  15.4
2020 06 16  3.0  0.35 15.9  15.4
2020 06 16  3.4  0.33 15.9  15.4
2020 06 16  2.5  0.34 15.9  15.4
2020 06 16  2.1  0.32 15.8  15.4
2020 06 16  2.1  0.30 15.8  15.4
2020 06 16  2.2  0.28 15.7  15.4
2020 06 16  2.7  0.29 15.9  15.4
2020 06 16  2.3  0.27 16.0  15.4
2020 06 16  2.6  0.26 16.0  15.3
2020 06 16  2.4  0.22 15.8  15.3
2020 06 16  2.7  0.21 15.8  15.3
2020 06 16  2.1  0.19 15.8  15.3
2020 06 16  2.4  0.18 15.9  15.3
2020 06 16  2.4  0.19 16.1  15.3
2020 06 16  2.3  0.19 15.7  15.3
2020 06 16  2.7  0.18 15.7  15.3
2020 06 16  3.0  0.17 15.7  15.2
2020 06 16  3.2  0.18 15.6  15.2
2020 06 16  3.6  0.17 15.7  15.2
2020 06 16  3.6  0.18 15.6  15.2
2020 06 16  3.6  0.20 15.5  15.3
2020 06 16  3.2  0.21 15.4  15.3
2020 06 16  3.3  0.19 15.8  15.3
2020 06 16  3.2  0.21 15.9  15.3
2020 06 16  3.0  0.18 15.7  15.3
2020 06 16  3.0  0.19 15.5  15.3
2020 06 16  3.0  0.16 15.5  15.3
2020 06 16  2.8  0.13 15.5  15.3
2020 06 16  3.1  0.12 15.6  15.3
2020 06 16  2.9  0.11 15.4  15.3
2020 06 16  2.6  0.10 15.4  15.3
2020 06 16  2.3  0.10 15.4  15.2
2020 06 16  1.5  0.10 15.3  15.2
2020 06 16  2.1  0.09 15.2  15.2
2020 06 16  1.8  0.09 15.1  15.2
2020 06 16  1.1  0.09 15.2  15.2
2020 06 16  1.7  0.10 15.2  15.2
2020 06 16  2.6  0.10 15.3  15.1
2020 06 16  2.5  0.10 15.1  15.1
2020 06 16  2.2  0.12 15.1  15.1
2020 06 16  3.5  0.13 15.3  15.1
2020 06 16  3.3  0.14 15.3  15.1
2020 06 16  2.9  0.16 15.3  15.0
2020 06 16  2.7  0.21 14.2  15.0
2020 06 16  2.9  0.19 15.3  15.0
2020 06 16  3.0  0.20 15.4  15.0
2020 06 16  2.8  0.18 15.4  15.0
2020 06 16  2.6  0.17 15.4  15.0
2020 06 16  3.2  0.16 15.4  15.0
2020 06 16  3.2  0.15 15.3  15.0
2020 06 16  2.7  0.16 15.2  15.0
2020 06 16  2.5  0.17 15.2  15.0
2020 06 16  2.5  0.16 15.2  15.0
2020 06 16  1.8  0.15 15.4  15.0
2020 06 16  2.3  0.15 15.4  15.0
2020 06 16  2.0  0.15 15.5  15.1
2020 06 16  2.5  0.15 15.7  15.1
2020 06 16  2.7  0.15 15.8  15.1
2020 06 16  2.3  0.14 15.9  15.1
2020 06 16  2.2  0.15 16.1  15.1
2020 06 16  2.1  0.15 16.5  15.1
2020 06 16  2.1  0.14 16.6  15.2
2020 06 16  2.1  0.14 16.6  15.2
2020 06 16  2.3  0.13 16.8  15.2
2020 06 16  2.7  0.13 17.0  15.2
2020 06 16  2.3  0.13 17.1  15.2
2020 06 16  1.9  0.12 17.1  15.2
2020 06 16  1.7  0.13 17.2  15.2
2020 06 16  1.5  0.12 17.3  15.3
2020 06 16  1.8  0.12 16.9  15.3
2020 06 16  2.0  0.11 17.2  15.3
2020 06 16  2.2  0.16 17.3  15.3
2020 06 16  2.4  0.12 17.8  15.3
2020 06 16  2.2  0.11 18.0  15.3
2020 06 16  2.2  0.12 17.7  15.2
2020 06 16  2.6  0.16 18.3  15.2
2020 06 16  2.8  0.11 18.4  15.2
2020 06 16  2.7  0.10 18.2  15.2
2020 06 16  2.7  0.14 18.4  15.2
2020 06 16  2.4  0.12 18.4  15.3
2020 06 16  1.9  0.09 18.0  15.3
2020 06 16  2.0  0.10 17.7  15.3
2020 06 16  2.0  0.10 17.8  15.3
2020 06 16  1.9  0.12 17.9  15.4
2020 06 16  2.1  0.10 18.0  15.4
2020 06 16  2.2  0.09 18.2  15.4
2020 06 16  2.4  0.08 18.3  15.4
2020 06 16  2.4  0.08 18.1  15.5
2020 06 16  2.3  0.07 18.2  15.5
2020 06 16  2.1  0.08 18.4  15.5
2020 06 16  2.1  0.08 18.6  15.5
2020 06 16  2.3  0.08 18.5  15.6
2020 06 16  2.7  0.10 18.4  15.7
2020 06 16  2.4  0.10 18.6  15.7
2020 06 16  2.5  0.07 18.6  15.6
2020 06 16  2.6  0.08 18.6  15.6
2020 06 16  2.6  0.06 18.5  15.5
2020 06 16  2.9  0.06 18.4  15.5
2020 06 16  2.9  0.06 18.3  15.5
2020 06 16  2.7  0.06 18.3  15.5
2020 06 16  2.8  0.07 18.2  15.5
2020 06 16  2.7  0.07 18.2  15.6
2020 06 16  2.4  0.07 18.2  15.5
2020 06 16  2.4  0.08 18.2  15.5
2020 06 16  2.8  0.07 18.1  15.5
2020 06 16  2.5  0.07 18.1  15.4
2020 06 16  2.8  0.09 18.1  15.4
2020 06 16  2.7  0.07 18.1  15.4
2020 06 16  3.1  0.09 18.1  15.4
2020 06 16  2.6  0.11 18.1  15.5
2020 06 16  2.8  0.12 18.0  15.4
2020 06 16  3.2  0.11 17.9  15.5
2020 06 16  3.0  0.09 17.9  15.5
2020 06 16  3.2  0.11 17.8  15.5
2020 06 16  2.9  0.11 17.9  15.5
2020 06 16  2.7  0.14 17.9  15.5
2020 06 16  2.9  0.10 17.9  15.7
2020 06 16  2.8  0.11 18.0  15.6
2020 06 16  2.9  0.11 18.0  15.5
2020 06 16  2.5  0.12 18.0  15.8
2020 06 16  2.4  0.09 18.1  15.8
2020 06 16  2.6  0.11 18.1  15.9
2020 06 16  2.6  0.11 18.2  15.9
2020 06 16  2.9  0.10 18.3  15.8
2020 06 16  2.5  0.10 18.2  16.0
2020 06 17  2.4  0.10 18.2  16.2
2020 06 17  1.9  0.08 18.2  16.4
2020 06 17  1.9  0.10 18.2  16.5
2020 06 17  2.1  0.11 18.3  16.6
2020 06 17  2.3  0.11 18.3  16.6
2020 06 17  2.4  0.12 18.3  16.7
2020 06 17  2.4  0.10 18.4  16.6
2020 06 17  2.2  0.08 18.4  16.5
2020 06 17  1.9  0.08 18.3  16.4
2020 06 17  2.1  0.07 18.2  16.5
2020 06 17  2.4  0.10 18.2  16.5
2020 06 17  2.2  0.07 18.2  16.7
2020 06 17  2.3  0.10 18.2  16.7
2020 06 17  2.3  0.09 18.2  16.7
2020 06 17  1.8  0.07 18.3  16.6
2020 06 17  1.8  0.08 18.4  16.5
2020 06 17  1.5  0.08 18.4  16.5
2020 06 17  2.0  0.08 18.4  16.5
2020 06 17  2.1  0.07 18.5  16.3
2020 06 17  1.5  0.06 18.5  16.4
2020 06 17  1.3  0.06 18.7  16.4
2020 06 17  0.7  0.05 18.3  16.3
2020 06 17  0.8  0.05 18.4  16.3
2020 06 17  1.0  0.06 18.5  16.2
2020 06 17  0.9  0.06 18.4  16.3
2020 06 17  0.8  0.06 18.1  16.3
2020 06 17  1.3  0.06 18.0  16.2
2020 06 17  1.6  0.05 18.3  16.2
2020 06 17  1.8  0.06 18.4  16.2
2020 06 17  1.7  0.07 18.6  16.1
2020 06 17  1.6  0.07 18.3  16.0
2020 06 17  1.4  0.06 18.2  15.9
2020 06 17  1.6  0.05 18.1  15.9
2020 06 17  1.7  0.05 18.2  15.9
2020 06 17  1.7  0.05 18.1  15.9
2020 06 17  1.7  0.05 18.0  15.9
2020 06 17  1.7  0.05 18.1  15.9
2020 06 17  1.6  0.04 18.2  15.8
2020 06 17  1.6  0.05 18.1  15.8
2020 06 17  1.7  0.05 18.0  15.8
2020 06 17  2.6  0.04 18.2  15.7
2020 06 17  2.3  0.04 18.3  15.8
2020 06 17  1.4  0.04 18.1  16.0
2020 06 17  0.6  0.03 17.9  16.1
2020 06 17  1.2  0.04 18.0  16.1
2020 06 17  1.1  0.04 18.0  16.1
2020 06 17  1.7  0.04 17.8  16.0
2020 06 17  1.4  0.05 17.7  16.0
2020 06 17  1.3  0.08 17.5  16.0
2020 06 17  1.4  0.09 17.5  16.0
2020 06 17  1.8  0.09 17.5  15.9
2020 06 17  2.0  0.08 17.6  15.9
2020 06 17  2.3  0.07 17.6  16.0
2020 06 17  2.4  0.06 17.6  15.9
2020 06 17  2.3  0.06 17.5  15.9
2020 06 17  2.5  0.06 17.4  15.9
2020 06 17  2.6  0.06 17.4  16.0
2020 06 17  2.6  0.06 17.3  15.9
2020 06 17  2.9  0.06 17.2  15.9
2020 06 17  2.6  0.08 17.2  16.0
2020 06 17  2.7  0.09 17.2  15.9
2020 06 17  2.3  0.08 17.1  16.0
2020 06 17  2.2  0.06 15.8  15.9
2020 06 17  2.3  0.05 16.9  15.9
2020 06 17  2.1  0.05 16.9  15.9
2020 06 17  1.8  0.05 17.0  15.9
2020 06 17  1.9  0.07 16.9  15.9
2020 06 17  1.5  0.08 16.9  15.9
2020 06 17  1.9  0.10 16.8  15.9
2020 06 17  2.1  0.11 16.8  16.0
2020 06 17  2.3  0.11 17.0  16.0
2020 06 17  2.6  0.11 17.0  16.0
2020 06 17  2.6  0.12 17.2  16.0
2020 06 17  2.4  0.12 17.3  16.0
2020 06 17  1.9  0.11 17.5  16.0
2020 06 17  1.7  0.13 17.6  16.1
2020 06 17  1.8  0.10 17.7  16.1
2020 06 17  1.6  0.09 17.8  16.2
2020 06 17  1.4  0.09 17.9  16.2
2020 06 17  1.6  0.09 17.9  16.2
2020 06 17  1.5  0.09 17.9  16.2
2020 06 17  1.0  0.08 18.3  16.3
2020 06 17  1.5  0.10 18.6  16.3
2020 06 17  1.5  0.10 18.6  16.3
2020 06 17  1.9  0.10 18.9  16.3
2020 06 17  1.9  0.10 19.0  16.3
2020 06 17  1.5  0.11 19.4  16.3
2020 06 17  2.3  0.09 19.9  16.3
2020 06 17  2.0  0.10 20.1  16.3
2020 06 17  2.2  0.09 20.1  16.2
2020 06 17  1.9  0.11 20.0  16.2
2020 06 17  1.4  0.10 20.0  16.1
2020 06 17  0.4  0.13 20.1  16.1
2020 06 17  0.0  0.13 20.6  16.2
2020 06 17  0.0  0.10 21.6  16.2
2020 06 17  0.0  0.08 22.7  16.2
2020 06 17  0.0  0.08 22.3  16.2
2020 06 17  0.6  0.09 21.2  16.2
2020 06 17  0.6  0.10 21.3  16.3
2020 06 17  0.7  0.11 21.4  16.3
2020 06 17  0.6  0.08 21.6  16.2
2020 06 17  0.8  0.08 21.8  16.2
2020 06 17  0.9  0.08 21.9  16.2
2020 06 17  0.9  0.09 22.0  16.2
2020 06 17  0.8  0.09 22.1  16.2
2020 06 17  1.1  0.08 22.5  16.2
2020 06 17  1.4  0.08 22.6  16.2
2020 06 17  1.8  0.07 22.5  16.2
2020 06 17  2.1  0.08 22.3  16.3
2020 06 17  1.9  0.08 22.3  16.2
2020 06 17  1.7  0.08 22.1  16.3
2020 06 17  1.4  0.07 21.9  16.3
2020 06 17  1.5  0.07 21.7  16.3
2020 06 17  2.1  0.08 21.7  16.2
2020 06 17  2.3  0.09 21.6  16.3
2020 06 17  2.3  0.08 21.3  16.3
2020 06 17  2.4  0.12 21.2  16.3
2020 06 17  2.5  0.11 21.1  16.3
2020 06 17  2.6  0.11 21.0  16.3
2020 06 17  2.8  0.12 20.8  16.4
2020 06 17  2.8  0.09 20.6  16.4
2020 06 17  2.6  0.09 20.5  16.3
2020 06 17  2.8  0.08 20.5  16.3
2020 06 17  2.9  0.08 20.5  16.2
2020 06 17  3.1  0.09 20.5  16.1
2020 06 17  2.9  0.15 20.3  16.1
2020 06 17  2.7  0.10 20.2  16.3
2020 06 17  2.5  0.10 20.1  16.4
2020 06 17  2.4  0.09 19.9  16.4
2020 06 17  2.6  0.11 20.0  16.2
2020 06 17  2.5  0.13 20.2  16.3
2020 06 17  2.3  0.09 20.1  16.2
2020 06 17  2.2  0.09 19.9  16.2
2020 06 17  2.7  0.11 19.8  16.3
2020 06 17  2.9  0.08 19.9  16.4
2020 06 17  2.9  0.09 19.7  16.5
2020 06 17  2.2  0.11 19.5  16.7
2020 06 17  2.2  0.10 19.4  17.0
2020 06 17  2.6  0.11 19.4  16.9
2020 06 17  3.1  0.10 19.2  17.0
2020 06 17  2.8  0.09 19.1  17.1
2020 06 17  2.6  0.09 19.1  17.1
2020 06 17  2.5  0.08 19.0  16.9
2020 06 17  2.1  0.08 19.0  16.8
2020 06 18  2.4  0.10 18.9  16.6
2020 06 18  2.3  0.10 18.8  16.5
2020 06 18  1.9  0.08 18.8  16.5
2020 06 18  1.6  0.09 18.8  16.6
2020 06 18  1.6  0.08 18.7  16.5
2020 06 18  1.7  0.10 18.8  16.6
2020 06 18  1.8  0.10 18.8  16.5
2020 06 18  2.3  0.09 18.9  16.5
2020 06 18  2.3  0.07 18.8  16.3
2020 06 18  2.2  0.07 18.6  16.4
2020 06 18  1.8  0.09 18.5  16.6
2020 06 18  1.7  0.08 18.7  16.6
2020 06 18  1.5  0.06 18.7  16.7
2020 06 18  2.0  0.07 18.9  16.7
2020 06 18  2.2  0.06 19.1  17.0
2020 06 18  1.8  0.05 19.1  17.0
2020 06 18  1.7  0.05 19.1  17.0
2020 06 18  2.3  0.06 19.2  17.0
2020 06 18  2.5  0.06 19.7  17.0
2020 06 18  2.3  0.05 19.9  16.8
2020 06 18  2.2  0.05 20.0  17.1
2020 06 18  2.0  0.05 20.0  17.2
2020 06 18  1.7  0.05 20.1  17.2
2020 06 18  2.7  0.05 19.7  17.1
2020 06 18  2.2  0.05 19.7  17.2
2020 06 18  1.8  0.05 19.6  17.3
2020 06 18  2.0  0.04 19.9  17.2
2020 06 18  2.0  0.05 20.0  17.4
2020 06 18  1.9  0.04 19.8  17.2
2020 06 18  1.8  0.05 19.6  17.2
2020 06 18  1.8  0.05 19.5  17.5
2020 06 18  2.3  0.05 19.7  17.6
2020 06 18  1.1  0.04 19.7  17.6
2020 06 18  1.2  0.04 19.5  17.7
2020 06 18  1.4  0.04 19.5  17.7
2020 06 18  1.7  0.05 19.2  17.7
2020 06 18  2.2  0.06 19.1  17.8
2020 06 18  2.0  0.06 19.1  17.7
2020 06 18  1.5  0.05 19.1  17.7
2020 06 18  1.0  0.05 18.9  17.8
2020 06 18  0.9  0.06 18.8  17.8
2020 06 18  1.3  0.07 18.6  17.8
2020 06 18  1.9  0.06 18.5  17.9
2020 06 18  2.6  0.05 18.7  18.0
2020 06 18  2.8  0.06 18.9  18.1
2020 06 18  2.3  0.08 18.9  18.1
2020 06 18  2.5  0.11 18.8  18.1
2020 06 18  2.9  0.11 18.7  17.9
2020 06 18  2.9  0.11 18.8  17.8
2020 06 18  2.6  0.13 18.7  17.6
2020 06 18  2.4  0.11 18.6  17.9
2020 06 18  2.6  0.10 18.7  17.8
2020 06 18  2.6  0.12 18.7  17.8
2020 06 18  2.4  0.11 18.6  17.8
2020 06 18  2.2  0.11 18.3  17.7
2020 06 18  2.4  0.10 18.3  17.7
2020 06 18  2.5  0.10 18.3  17.7
2020 06 18  2.2  0.08 18.2  17.7
2020 06 18  1.7  0.08 18.1  17.7
2020 06 18  1.6  0.08 17.9  17.7
2020 06 18  2.2  0.09 17.9  17.7
2020 06 18  2.1  0.08 16.5  17.7
2020 06 18  2.0  0.08 17.7  17.8
2020 06 18  1.8  0.08 17.8  17.8
2020 06 18  2.2  0.08 17.9  17.8
2020 06 18  2.0  0.09 17.8  17.8
